,molecule_chembl_id,canonical_smiles,standard_value
144,CHEMBL1361740,CCn1nc(C)cc1-c1nnc(Sc2ncc([N+](=O)[O-])s2)n1C,46049.0
145,CHEMBL1578982,Cc1ccc(S(=O)(=O)N[C@H](C(=O)Oc2ccc3c(C(F)(F)F)cc(=O)oc3c2)c2ccccc2)cc1,3732.0
146,CHEMBL1361913,O=C(c1ccccc1)c1ccccc1N1C(=O)C=CC1=O,15343.0
147,CHEMBL1361821,CCOC(=O)COc1ccccc1/C=C\[N+](=O)[O-],49748.0
148,CHEMBL1558462,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(OC(F)F)cc2)n1,6645.0
149,CHEMBL1343392,Cc1ccc(C(=O)OCn2ncc(Cl)c(Cl)c2=O)cc1,48731.0
150,CHEMBL1566610,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(=O)CC(=O)O[C@H]3[C@@H]4C(=C)C(=O)O[C@@H]4C[C@@H](C)[C@@H]4C=CC(=O)[C@@]34C)[C@H]12,17855.0
151,CHEMBL508338,,16893.0
152,CHEMBL1303426,Cc1c(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C,6002.0
153,CHEMBL1508208,CS(=O)(=O)c1sc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1N,16200.0
154,CHEMBL1586067,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1cccc(O)c1,5239.0
155,CHEMBL1579061,CN(C)C=O.CN(C)c1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2ccc(C(=O)O)cc2)cc1,9002.0
156,CHEMBL1350432,S=c1sc2c(Cl)ncnc2n1-c1ccccc1,49712.0
157,CHEMBL1531308,O=C(C#Cc1ccccc1)c1ccco1,49762.0
158,CHEMBL1343705,O=S(=O)(Nc1cccc2ncccc12)c1cccs1,49744.0
159,CHEMBL1570323,CC[C@H](C)/C=C(C)/C=C/C1=CC2=CC(=O)[C@]3(C)OC(=O)[C@@H](C(C)=O)[C@@H]3C2=CO1,8858.0
160,CHEMBL1429929,CCOC(=O)CCS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,28223.0
161,CHEMBL1469035,Cc1ccccc1NC(=O)/C=C/c1ccc([N+](=O)[O-])s1,13698.0
162,CHEMBL1372650,N#Cc1ccc(-c2ccco2)nc1SCC(=O)c1ccc(Cl)cc1,10135.0
163,CHEMBL1540557,CCC1(C)OC(c2ccccc2)=C/C(=C/C=C2C(=O)NC(=O)NC2=O)O1,9166.0
164,CHEMBL1710816,COc1cc(N2C(=O)C=CC2=O)ccc1N1C(=O)C=CC1=O,10979.0
165,CHEMBL1303810,O=C(OCn1ncc(Br)c(Br)c1=O)c1ccccc1Cl,49761.0
166,CHEMBL1390797,COc1ccc(C(=O)c2sc3nc(C)cc(-c4cccs4)c3c2N)cc1,3855.0
167,CHEMBL1406758,N#C/C(=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1)c1nc2ccccc2s1,5086.0
168,CHEMBL1980369,COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1-c1cccc(Cl)c1.O=C(O)C(F)(F)F,6780.0
169,CHEMBL1508593,COc1ccc(-c2c(Sc3cccc(C(F)(F)F)c3)c3ccc(OC)cc3[s+]2[O-])cc1,3667.0
170,CHEMBL1462078,Nc1c(C(=O)c2cccs2)sc2nsc(SCCN3CCCCC3)c12,9894.0
171,CHEMBL3189224,CCCCCCSc1cc(-c2nc3cnccn3c2NCCCC)ccc1OC.O=C(O)C(F)(F)F,7425.0
172,CHEMBL1351081,Cc1ccc(NC(=O)c2cc(N3C(=O)C=CC3=O)ccc2N2CCOCC2)cc1Cl,9482.0
173,CHEMBL1711797,C=C1C(=O)c2sccc2C(c2ccc(OC)c(OC)c2)C1COC(C)=O,21389.0
174,CHEMBL1711514,O=[N+]([O-])c1ccc([S+]([O-])Cc2ccccc2)c([N+](=O)[O-])c1,23159.0
175,CHEMBL1609419,CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],10026.0
176,CHEMBL1508875,Nc1c(C(=O)Nc2ccccc2F)sc2nc(-c3cccnc3)ccc12,14029.0
177,CHEMBL1731330,CC(O)CN(CC(C)O)c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,5091.0
178,CHEMBL1712082,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,21433.0
179,CHEMBL1423626,C=CCn1c(O)nnc1Sc1ncc([N+](=O)[O-])s1,49792.0
180,CHEMBL1899958,COc1ccccc1NS(=O)(=O)c1cc([N+](=O)[O-])ccc1N/N=C/c1c[nH]c2ccccc12,2744.0
181,CHEMBL1462613,COc1ccc(C(=O)c2sc3nc(-c4ccc(OC)cc4)ccc3c2N)cc1,4440.0
